Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR11352506_1										6.94613383310501	0.19788348701987546	0.5427875154264554	0.30152228136274184	0.22162197532904607	0.00743112537787081	0.7994409952627962
SRR11352506_2										6.467854565509182	0.21115779243146585	0.5234918870611698	0.32336215963047343	0.2350572401278892	0.016486879161509777	0.6738647044576805
SRR11352507_1										3.9056286897393773	0.16125168809673707	0.5996315506785602	0.3055773769943432	0.22419331515565105	0.0032291148973442245	0.32973506088819443
SRR11352507_2										3.4983449382228895	0.1593244385722879	0.5368744056265983	0.32305765708125966	0.24059497004699748	0.02047571771999514	0.2600711242352607
SRR11352508_1										3.2004481248473966	0.19153307520519608	0.7984281369011375	0.42774078935512466	0.31445271966400923	0.005970646248646003	0.46564310777972573
SRR11352508_2										2.949304549342804	0.18736821839740328	0.7463025920170401	0.4265657031513355	0.2904288175352334	0.033300732777033035	0.3831648802246527
SRR11352509_1										4.835422665306428	0.1741476985033682	0.525761349841253	0.18360660293509035	0.03743491744231453	0.0	0.39196864769380474
SRR11352509_2										4.418234407518697	0.164045684089987	0.5048989034203217	0.18832344665201262	0.0486819967647585	0.024436580669378424	0.34122129646954136
SRR11352510_1										4.618276158458751	0.2086020378258723	0.7761529394211	0.6077013388555462	0.5776839851033044	0.015998647268729984	0.6783574951025684
SRR11352510_2										4.062485481266806	0.18246948670726515	0.7985112316094547	0.5544546100079224	0.5333727040960015	0.014761186668646098	0.6282943587120352
SRR11352511_1										11.215382613519635	0.26465511008290926	0.7360118999301211	0.44680753247489036	0.3742514187146772	0.014993893192833148	1.110475405315275
SRR11352511_2										10.18305579909883	0.23186769728274428	0.7134248401567653	0.4454288633030665	0.41431881910532165	0.037237165133285836	0.9088079953823731
SRR11352512_1										2.904912305836929	0.1416882186173998	0.3940619265465151	0.07937712991308245	0.029578492488580223	0.012017202149361382	0.5580301073961678
SRR11352512_2										2.6794023461051775	0.13054111336159643	0.3878382206763378	0.08093177311000666	0.03690288233363619	0.029337341898413725	0.5025880377989492
SRR11352513_1										1.7317009906026324	0.12620475365217046	0.45614643954586964	0.08049309822733092	0.007309746463198315	0.004155342118204132	0.19452545821341782
SRR11352513_2										1.6168027219142111	0.1580656449483042	0.47149881568597923	0.062381585338593476	0.02462312682572605	0.005185340722388787	0.16304025667721475
SRR11352514_1										3.6113222746210907	0.15513452843464495	0.6210074208418359	0.3388088009683451	0.17271050200472907	0.007313336669673968	0.29347478734840193
SRR11352514_2										3.34909776283196	0.16334668719386744	0.6180887256456372	0.3522024676727292	0.1453939435526883	0.008950652407972737	0.24603173791610886
SRR11352515_1										4.045293072948073	0.16150015895727488	0.4650713850004185	0.2353227070707663	0.11837505872830643	0.0	0.27623698856912243
SRR11352515_2										3.8816881525636218	0.1493016189554242	0.49733186033697263	0.242226171849199	0.10271183051542726	0.025127606478807935	0.226324061493201
SRR11352516_1										5.653772425107555	0.17682224642645553	0.5232480016137171	0.11640751262920075	0.017742359032249314	0.004745804898532583	0.547679112890989
SRR11352516_2										5.329480094011775	0.19219756297210663	0.5186091394849929	0.1091524514527621	0.04462470750844631	0.03375698923328678	0.42780782051474364
SRR11352517_1										7.503164848304163	0.20175723521332206	0.8335414194678336	0.4946161839220667	0.254394424012114	0.0	0.7013504459669937
SRR11352517_2										7.034634601608428	0.20508117669931314	0.8663705280115919	0.4680582436408859	0.25001159229516556	0.024021541685944392	0.5847548252138035
SRR11352518_1										3.4201473205090855	0.2664219787944253	0.7819581867689267	0.4845598863697732	0.2720087572075991	0.0	0.12596707787011976
SRR11352518_2										3.008160996674796	0.22665347340944916	0.7558414997166658	0.45670915856087424	0.2532182166924926	0.0	0.11659350187632
SRR11352519_1										4.756177644453605	0.15678927865606734	0.6447463195250234	0.310213922578855	0.22683136326852354	0.0	0.4562381623085837
SRR11352519_2										4.490743451243763	0.16806673744643333	0.6228433323731042	0.30062004203344517	0.21325875487280566	0.028623047699544026	0.37601729980713844
SRR11352520_1										5.696064079922681	0.1934562648244967	0.5816249693908426	0.2654272764246862	0.1947178465114967	0.011411031273801817	1.0740926811026892
SRR11352520_2										5.302959471017503	0.2180021445374299	0.6290235559739575	0.25083883769517984	0.24323242868917197	0.033153067859707785	0.8872680501205954
SRR11352521_1										8.999725536651452	0.20534580294894916	0.6797629101276262	0.3347612495782294	0.21068407323929159	0.007862180427030671	1.0450366764288825
SRR11352521_2										8.413935691748039	0.2136919289584917	0.7227562669873749	0.34617935521347226	0.20211487396978	0.02308233672141358	0.8602780925379149
SRR11352522_1										7.004213594093056	0.17430639802805015	0.6783223858440655	0.3287363358000948	0.1379882624663618	0.0062123761568029625	0.8383535564561966
SRR11352522_2										6.601122872430283	0.18684899068301464	0.6865585630967371	0.31770341378382344	0.1551581242036938	0.01365955902463597	0.684694430729398
SRR11352523_1										3.4375066778140617	0.09371347066496202	0.4965432289453001	0.2634137263166485	0.09952570617017167	0.0	0.41132132138337774
SRR11352523_2										3.321212752689489	0.11018903799398697	0.504443855721502	0.23537409696530454	0.11603707589022474	0.025240042066870957	0.3186312650320976
SRR11352524_1										4.933083418526352	0.3053458668654009	0.8779464458553373	0.39409689439116063	0.22711799996781495	0.017546044762410104	0.5376977067990742
SRR11352524_2										4.469986103447722	0.28613261098603415	0.8494687652996337	0.38573034035382864	0.2216289453519866	0.03114876588842416	0.4672813530334003
SRR11352525_1										6.2638017813234335	0.295115432352215	0.9122141073957042	0.622533495763772	0.796988323993043	0.004029202887715181	0.40976402200741163
SRR11352525_2										5.779536499094162	0.28024729469946574	0.9084303800743	0.5809783526307376	0.7292822526803245	0.029371920794813773	0.3277010762353672
SRR11352526_1										3.333723183703648	0.2186551297505593	0.7429211179864486	0.40161222910350375	0.3016814890869367	0.004287132133599335	0.3859050738855232
SRR11352526_2										3.1101346997206663	0.2056532500665206	0.7241385386052659	0.3959834637268613	0.2996691380301803	0.03054436626518926	0.30419794187220806
SRR11352527_1										4.377100595826457	0.2243399771283145	0.7750719837474553	0.319536313538068	0.127457932637486	0.021043312345743623	0.8004739924317685
SRR11352527_2										4.07291878097227	0.19916475684152854	0.8095056908234914	0.2939555696991838	0.13876924715784353	0.005559913510862708	0.7452804276467193
SRR11352528_1										9.121555075127775	0.29915962838132903	1.0312911361121617	0.9470799997641003	2.067218535319539	0.1635188792722847	0.5542752209078801
SRR11352528_2										7.922340711274211	0.35003086052879784	1.0323370998152464	0.9328945663812623	1.904047783950295	0.15574824703139137	0.4749149228309631
SRR11352529_1										17.83608455168852	0.6429503339965599	1.3518437432675838	0.9104195484293831	1.0011728966398823	0.02252181597625559	1.6605614968990972
SRR11352529_2										16.813785268704525	0.6710346762347666	1.3274124920468526	0.8822917855307252	1.003008959360419	0.040554717125224134	1.3784796348439823
SRR11352530_1										11.854189553721987	0.3428236275851646	0.6308312093152999	0.14821189546055036	0.057126836891392266	0.01963828664268523	1.9618171488154972
SRR11352530_2										11.047715083004421	0.32343488294170414	0.686438950604726	0.16973819202374954	0.10674612700023432	0.053526291410124036	1.6924064986228782
SRR11352531_1										3.114406362654177	0.16816309210130184	0.8486283557087377	0.5541805426165389	0.49385655664268585	0.005264673629560707	0.9170628340608914
SRR11352531_2										2.973935487556354	0.1704730545117938	0.8436699996400435	0.5563275548654648	0.47118255146048627	0.021948380274662796	0.7773953043627813
SRR11352532_1										6.229719936739898	0.25971777539113655	0.8873462822866311	0.800894987848888	1.213135813066912	0.04042726265254219	0.7643165206877017
SRR11352532_2										5.759230114353729	0.2530077228223062	0.9029843272462987	0.8026620242310866	1.156704965649937	0.041408967249751266	0.6445481435656573
SRR11392157_1										2.2227053053324184	0.14658246272953718	0.5321082385585905	0.16993163688667443	0.04375291939270414	0.010054713848049322	0.2263782551520754
SRR11392157_2										2.082302512475628	0.12718217960802697	0.5363960105301827	0.16633979227256995	0.054015130180755454	0.011183068243380117	0.1946994400780652
SRR11392158_1										2.667716401963372	0.16327145598593606	0.6358659509318126	0.23163486722732385	0.06341882393756235	0.006058024953617296	0.4417001351482566
