Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
SRR11352506_1	50.0	54.0	71.5	117.0	172.5	239.5	361.0	676.0	1641.0	4044.5	8610.5	15509.5	23854.5	31578.5	36997.0	40160.0	41683.5	43209.0	47237.5	55282.0	69388.5	91172.0	123788.0	169304.0	230705.5	309421.0	408518.5	530374.5	674407.0	840037.5	1026032.0	1232842.5	1463267.5	1723625.0	2008879.0	2306663.0	2617724.5	2951685.0	3294864.0	3629151.5	3940883.0	4233050.5	4510738.5	4741515.0	4901287.0	4988148.0	5006521.5	4986325.0	4952571.5	4906321.5	4850307.5	4794046.0	4741951.5	4691845.0	4645045.5	4599426.0	4561518.5	4532266.5	4524643.0	4532435.5	4520009.5	4459223.5	4343778.5	4188680.5	4045711.5	4391606.0	4194342.5	3391509.5	3085647.0	2848088.5	2570821.0	2305895.5	2055470.0	1831346.0	1627484.5	1464455.0	1316882.5	1183349.5	1072812.5	931485.0	799653.5	683160.5	549779.5	434072.0	351396.0	267172.0	194228.0	136020.0	91782.5	59754.5	35839.5	20285.0	11486.0	7005.0	4640.0	3096.0	2052.5	1219.5	699.5	332.0	89.5
SRR11352506_2	510.0	500.0	562.0	707.5	859.5	1022.5	1208.0	1429.5	1606.5	1773.5	2026.5	2360.5	2817.0	3455.5	4387.0	6065.5	8734.0	13209.0	20731.5	32841.5	51172.5	78589.0	118436.0	172176.0	244604.0	334503.0	443151.5	575103.5	729144.5	903641.0	1094841.5	1306488.0	1543302.5	1801401.0	2077721.0	2365483.0	2663071.0	2978412.5	3303247.5	3623754.5	3922663.5	4197350.5	4454539.0	4681242.5	4840791.5	4916854.5	4935407.0	4921036.5	4889676.5	4846327.5	4796252.0	4747198.5	4694408.0	4638313.0	4585459.5	4541833.0	4507041.0	4478948.5	4469503.0	4474989.5	4465787.0	4410823.0	4301824.0	4146242.5	3958850.0	3740547.0	3506860.5	3287600.5	3085495.0	2861988.5	2594319.0	2330784.5	2083286.5	1860780.5	1659779.0	1495875.5	1347510.0	1216446.0	1107541.0	972643.0	842080.5	722251.5	588899.0	474877.0	391677.5	307749.5	234789.0	173512.5	126840.0	92189.0	65450.0	48766.5	40095.0	36373.0	36556.5	39067.0	42205.5	53558.5	91368.0	204878.5	609469.0
SRR11352507_1	82.0	109.0	175.0	253.0	345.0	454.0	608.5	881.5	1579.5	2991.0	5641.5	9500.5	13930.5	18623.0	22745.5	25979.0	29545.5	34986.0	44670.5	61152.5	86305.0	123990.0	178307.5	250800.0	343985.0	460376.5	603689.0	774348.0	968966.0	1189125.0	1430539.5	1691827.0	1979759.0	2293270.5	2621993.5	2954500.5	3294512.0	3644462.5	3983863.0	4302317.0	4590477.0	4842464.5	5056351.5	5215353.5	5291942.0	5281226.5	5201245.5	5077091.5	4945839.5	4813809.5	4686698.5	4574754.0	4473060.5	4374110.5	4293243.5	4235592.0	4189376.5	4151082.0	4140265.5	4152577.5	4145268.0	4094600.5	3996512.5	3862727.5	3716211.0	3746711.0	3539227.0	3096806.0	2873296.0	2658944.0	2403777.5	2156454.5	1915950.5	1700955.0	1503302.0	1346849.5	1212788.5	1090132.0	993240.0	871883.5	753971.0	645711.5	519713.5	408828.5	327162.5	244254.5	174846.5	121453.5	82783.0	55082.0	34505.5	20310.0	11877.0	7135.0	4484.5	2904.0	1869.0	1139.0	632.0	303.0	95.5
SRR11352507_2	502.0	463.0	464.5	602.0	814.5	1004.0	1199.0	1447.0	1697.5	2062.0	2556.5	3176.0	4039.0	5236.5	6990.0	9836.5	14468.5	22432.5	35716.5	56799.0	89004.5	135928.5	200132.0	284633.0	394878.5	529526.0	688164.5	873454.5	1082585.5	1315408.5	1565162.5	1828090.0	2110348.5	2414170.5	2729444.5	3045148.5	3360912.0	3681776.0	3996389.5	4284213.0	4545806.5	4776761.5	4968718.5	5111378.0	5184266.5	5171802.0	5090920.5	4977948.0	4855900.0	4732962.5	4614803.5	4503844.5	4402831.0	4309363.5	4224571.5	4164224.0	4120871.5	4082574.0	4071578.0	4079977.5	4070056.0	4026618.5	3933952.0	3796881.5	3631945.5	3442125.0	3235752.5	3033123.5	2850776.5	2647488.0	2401472.0	2161409.0	1925969.0	1711115.0	1518719.5	1368417.0	1235507.0	1113932.0	1018666.5	901385.5	783629.0	676354.5	557167.5	447420.5	363825.0	282260.0	211857.5	155396.5	113688.5	84174.0	61816.0	45970.0	36215.5	30772.5	28620.0	27885.0	28207.0	32955.0	49447.5	98019.5	268438.5
SRR11352508_1	57.0	72.5	120.5	195.5	270.0	364.0	474.0	692.5	1277.5	2538.5	4881.5	8373.5	12798.0	17110.5	20383.0	22934.0	25551.0	29738.5	36891.0	48051.5	65154.5	90363.0	126027.0	173826.0	236348.5	314563.0	409028.0	521365.0	653410.0	803328.0	967500.5	1146301.0	1344354.5	1568077.0	1804495.5	2046637.5	2294673.0	2553833.0	2815038.5	3063349.5	3293375.0	3500569.0	3683561.5	3824051.5	3912775.5	3936072.5	3894111.0	3824304.0	3749748.0	3674945.0	3600102.5	3527370.5	3462444.0	3399208.0	3344689.0	3306312.5	3274889.5	3247767.0	3245059.5	3257681.5	3253108.5	3218488.5	3143244.0	3036141.0	2930178.0	3035916.0	2885459.5	2466654.5	2283993.5	2120415.0	1918403.0	1725205.5	1541121.0	1378530.5	1230665.5	1121486.0	1023119.0	932860.5	870181.0	780499.5	690781.5	601579.0	488853.5	385664.0	311447.5	237858.0	173069.0	120996.5	82617.5	54897.5	34269.0	19870.5	11189.0	6666.5	4222.5	2713.0	1696.5	1036.5	593.5	269.5	83.0
SRR11352508_2	420.0	382.5	414.0	543.5	692.5	849.5	1048.5	1244.0	1437.0	1705.0	2096.0	2564.5	3238.5	4205.5	5500.0	7902.5	11737.5	17897.0	27817.5	42783.0	65157.0	96872.0	140164.5	196610.5	268179.0	356833.5	461940.5	583934.0	723945.0	879444.0	1046034.0	1228856.5	1428024.5	1642516.5	1868424.0	2095356.0	2326883.5	2569586.0	2812717.0	3042692.5	3250008.0	3437661.0	3609997.0	3745674.5	3831442.5	3853359.5	3820194.5	3759557.5	3685814.5	3614734.5	3548656.0	3482631.0	3417408.5	3355542.5	3301365.0	3261972.5	3229715.0	3204466.5	3203664.5	3216334.5	3210237.5	3177812.5	3110058.5	3004578.5	2877277.5	2726213.0	2563751.0	2410684.0	2274610.0	2121267.0	1927116.0	1737693.0	1555898.0	1392536.5	1246991.5	1138980.0	1042367.0	953792.0	888266.0	801339.0	714014.5	625879.0	517997.0	418553.5	344151.5	269838.0	204444.5	151210.5	110524.0	80293.0	57647.5	41419.0	31749.5	26787.0	25011.5	24932.5	25327.5	30217.0	47310.5	98518.5	289079.0
SRR11352509_1	48.0	55.0	81.5	145.5	233.0	324.5	459.5	759.0	1399.5	2718.5	5165.0	8842.0	13224.5	17483.0	20684.0	22952.5	24794.5	27066.5	31930.0	40837.0	55490.0	77894.0	110017.5	153850.5	212566.0	288119.0	380710.5	490698.0	619643.0	767367.5	928734.0	1103651.0	1300407.5	1517888.5	1743691.5	1978620.0	2219788.5	2468259.0	2719961.5	2958876.5	3179995.0	3381543.5	3560765.5	3706891.5	3800189.5	3833559.0	3817954.5	3775485.5	3731185.0	3690768.0	3653188.0	3625527.5	3610428.5	3598857.5	3594479.0	3605462.0	3631310.5	3666709.5	3722596.0	3796756.5	3851349.5	3866119.5	3828349.0	3747143.5	3655847.0	3736265.0	3566022.0	3157394.0	2956581.0	2763679.5	2533893.0	2291241.0	2054618.0	1838159.5	1640361.5	1473893.0	1316926.0	1169619.5	1042557.0	905654.5	779327.0	665402.5	547716.5	445116.5	363166.0	283222.5	213440.0	154414.0	107893.5	71655.5	44317.0	25688.0	14223.5	8080.0	4986.5	3227.5	2067.5	1250.0	710.0	341.5	109.5
SRR11352509_2	428.0	386.5	373.5	419.0	517.0	633.0	740.5	915.0	1074.5	1259.5	1530.5	1831.5	2244.5	2866.5	3874.0	5441.0	8025.5	12430.5	19888.5	31649.5	49531.5	76801.0	115727.0	167770.5	236591.0	321936.5	424627.0	545679.5	685086.0	839859.0	1005189.0	1185800.0	1382617.5	1593004.0	1814081.5	2038976.0	2264867.5	2497518.0	2729370.5	2947816.0	3150211.0	3336370.0	3504298.5	3636504.0	3719321.5	3754500.5	3743763.5	3706669.0	3662067.0	3623451.0	3592445.5	3566408.0	3549251.0	3533575.0	3524957.5	3534046.5	3558733.0	3593665.5	3646419.0	3714067.0	3770300.0	3791180.5	3764565.0	3685600.0	3573534.0	3433189.5	3269638.5	3107387.5	2947379.5	2767322.5	2547188.0	2313707.5	2084233.0	1871678.5	1676743.5	1509597.5	1355857.5	1214646.0	1086536.0	951927.0	828972.5	713620.0	598455.0	496534.5	411791.0	329675.5	256590.0	194567.5	144202.0	104529.5	74612.0	53095.0	39441.0	31869.0	28574.5	27414.0	26975.0	29796.5	42708.0	87401.5	289623.5
SRR11352510_1	68.0	75.0	117.0	179.5	240.5	317.5	420.0	705.5	1507.0	3321.0	6819.0	11993.5	18245.5	24355.5	28900.5	31768.5	33797.5	37000.5	42705.5	52034.0	66957.5	89772.0	122577.5	166346.0	223406.5	295351.0	384028.0	490640.5	614723.5	756672.0	912869.5	1087701.0	1282413.0	1498250.0	1732205.0	1973597.5	2222959.5	2486003.0	2752273.5	3005702.5	3242062.0	3458744.5	3651368.0	3806122.5	3906288.5	3938708.0	3908099.5	3845165.5	3773741.0	3700841.0	3629919.5	3557465.5	3491368.0	3433395.5	3382687.0	3354941.5	3341159.0	3330218.5	3351135.5	3392166.0	3418170.5	3415512.5	3365100.5	3286998.0	3225875.5	3409281.5	3292717.5	2831404.0	2610049.5	2418239.0	2193594.0	1985093.0	1779269.0	1590733.0	1416164.0	1289931.0	1185681.0	1090905.0	1024665.0	925075.0	820074.5	715021.0	577003.0	451180.0	366333.5	279303.5	203005.0	142009.0	97678.0	66633.0	42521.5	25370.0	14648.0	8631.0	5468.5	3630.0	2364.0	1421.0	820.5	404.0	123.5
