#<METADATA>Ln prior of deletion of length 10=-16.26467999216321
#<METADATA>Ln prior of deletion of length 9=-15.937880446692175
#<METADATA>Ln prior of deletion of length 8=-16.733761772802772
#<METADATA>Ln prior of deletion of length 7=-16.82007544322583
#<METADATA>Ln prior of deletion of length 6=-15.267085642679476
#<METADATA>Ln prior of deletion of length 5=-15.556140917386301
#<METADATA>Ln prior of deletion of length 4=-14.979628732848054
#<METADATA>Ln prior of deletion of length 3=-14.5617251680133
#<METADATA>Ln prior of deletion of length 2=-13.791653965434714
#<METADATA>Ln prior of deletion of length 1=-13.2589637773234
#<METADATA>Ln prior of SNV=-9.300007919366859
#<METADATA>Ln prior of insertion of length 1=-13.323722779458059
#<METADATA>Ln prior of insertion of length 2=-14.318471752974862
#<METADATA>Ln prior of insertion of length 3=-14.434374485982639
#<METADATA>Ln prior of insertion of length 4=-14.656625449234868
#<METADATA>Ln prior of insertion of length 5=-15.40720970938751
#<METADATA>Ln prior of insertion of length 6=-15.226783159937204
#<METADATA>Ln prior of insertion of length 7=-15.985258388876463
#<METADATA>Ln prior of insertion of length 8=-16.549710095698874
#<METADATA>Ln prior of insertion of length 9=-16.4919531201668
#<METADATA>Ln prior of insertion of length 10=-16.683332828116047
#<METADATA>Background beta-binomial cluster=weight = 0.5326, alpha = 3.17, beta = 35.72
#<METADATA>High-AF beta-binomial cluster=weight = 0.0633, alpha = 5.03, beta = 10.37
#<METADATA>Binomial cluster=weight = 0.2139, mean = 0.174
#<METADATA>Binomial cluster=weight = 0.1032, mean = 0.105
#<METADATA>Binomial cluster=weight = 0.0715, mean = 0.063
#<METADATA>Binomial cluster=weight = 0.0117, mean = 0.119
#<METADATA>Binomial cluster=weight = 0.0038, mean = 0.052
#<METADATA>threshold=0.544
#<METADATA>fdr=0.104
#<METADATA>sensitivity=0.928
filter	FP	FDR	FN	FNR
weak_evidence	344.84	0.02	588.68	0.03
strand_bias	1559.08	0.08	477.87	0.03
contamination	0.0	0.0	0.0	0.0
normal_artifact	100.08	0.01	159.06	0.01
orientation	110.56	0.01	4.27	0.0
slippage	0.18	0.0	0.09	0.0
haplotype	113.6	0.01	28.35	0.0
germline	10.16	0.0	0.0	0.0
