#<METADATA>Ln prior of deletion of length 10=-16.671955457920173
#<METADATA>Ln prior of deletion of length 9=-15.634628588754742
#<METADATA>Ln prior of deletion of length 8=-16.098261917238066
#<METADATA>Ln prior of deletion of length 7=-15.606260569072214
#<METADATA>Ln prior of deletion of length 6=-14.98019171630674
#<METADATA>Ln prior of deletion of length 5=-15.295143400973934
#<METADATA>Ln prior of deletion of length 4=-14.300298319572098
#<METADATA>Ln prior of deletion of length 3=-13.852877446201468
#<METADATA>Ln prior of deletion of length 2=-13.536213587557283
#<METADATA>Ln prior of deletion of length 1=-13.045877677688674
#<METADATA>Ln prior of SNV=-8.82595218765359
#<METADATA>Ln prior of insertion of length 1=-13.155209146407891
#<METADATA>Ln prior of insertion of length 2=-13.97653048240092
#<METADATA>Ln prior of insertion of length 3=-14.089748311179092
#<METADATA>Ln prior of insertion of length 4=-14.15001634641088
#<METADATA>Ln prior of insertion of length 5=-15.225399110169601
#<METADATA>Ln prior of insertion of length 6=-14.655288421046414
#<METADATA>Ln prior of insertion of length 7=-15.541463190068896
#<METADATA>Ln prior of insertion of length 8=-16.20099265168236
#<METADATA>Ln prior of insertion of length 9=-15.450909611550376
#<METADATA>Ln prior of insertion of length 10=-16.442967823201563
#<METADATA>Background beta-binomial cluster=weight = 0.6924, alpha = 2.95, beta = 19.75
#<METADATA>High-AF beta-binomial cluster=weight = 0.0120, alpha = 8.04, beta = 6.80
#<METADATA>Binomial cluster=weight = 0.1260, mean = 0.060
#<METADATA>Binomial cluster=weight = 0.1150, mean = 0.141
#<METADATA>Binomial cluster=weight = 0.0545, mean = 0.084
#<METADATA>threshold=0.555
#<METADATA>fdr=0.118
#<METADATA>sensitivity=0.899
filter	FP	FDR	FN	FNR
weak_evidence	426.72	0.02	1267.23	0.05
strand_bias	2584.8	0.1	821.94	0.03
normal_artifact	123.35	0.0	457.73	0.02
orientation	279.95	0.01	6.75	0.0
slippage	0.34	0.0	0.54	0.0
haplotype	185.07	0.01	57.17	0.0
germline	10.58	0.0	0.59	0.0
