#<METADATA>Ln prior of deletion of length 10=-18.902975115199474
#<METADATA>Ln prior of deletion of length 9=-20.72326583694641
#<METADATA>Ln prior of deletion of length 8=-20.72326583694641
#<METADATA>Ln prior of deletion of length 7=-20.72326583694641
#<METADATA>Ln prior of deletion of length 6=-20.72326583694641
#<METADATA>Ln prior of deletion of length 5=-20.72326583694641
#<METADATA>Ln prior of deletion of length 4=-18.99976833652358
#<METADATA>Ln prior of deletion of length 3=-17.965817278565005
#<METADATA>Ln prior of deletion of length 2=-19.240538998679085
#<METADATA>Ln prior of deletion of length 1=-17.74532630119101
#<METADATA>Ln prior of SNV=-14.219838844626532
#<METADATA>Ln prior of insertion of length 1=-17.735199681579626
#<METADATA>Ln prior of insertion of length 2=-18.17607166458234
#<METADATA>Ln prior of insertion of length 3=-18.89971070361684
#<METADATA>Ln prior of insertion of length 4=-18.536538263242168
#<METADATA>Ln prior of insertion of length 5=-20.72326583694641
#<METADATA>Ln prior of insertion of length 6=-17.289798649332578
#<METADATA>Ln prior of insertion of length 7=-20.72326583694641
#<METADATA>Ln prior of insertion of length 8=-20.72326583694641
#<METADATA>Ln prior of insertion of length 9=-20.72326583694641
#<METADATA>Ln prior of insertion of length 10=-20.72326583694641
#<METADATA>Background beta-binomial cluster=weight = 0.9548, alpha = 1.06, beta = 3.65
#<METADATA>High-AF beta-binomial cluster=weight = 0.0452, alpha = 10.01, beta = 0.51
#<METADATA>threshold=0.568
#<METADATA>fdr=0.156
#<METADATA>sensitivity=0.868
filter	FP	FDR	FN	FNR
weak_evidence	11.54	0.08	11.37	0.08
strand_bias	8.05	0.05	3.61	0.03
normal_artifact	0.0	0.0	1.69	0.01
orientation	0.09	0.0	0.0	0.0
slippage	0.19	0.0	0.25	0.0
haplotype	2.62	0.02	0.62	0.0
germline	3.2	0.02	0.65	0.0
