#<METADATA>Ln prior of deletion of length 10=-18.369653972950385
#<METADATA>Ln prior of deletion of length 9=-17.968080821244406
#<METADATA>Ln prior of deletion of length 8=-18.39412205312296
#<METADATA>Ln prior of deletion of length 7=-19.32489786782431
#<METADATA>Ln prior of deletion of length 6=-17.36408187169086
#<METADATA>Ln prior of deletion of length 5=-17.98731034873465
#<METADATA>Ln prior of deletion of length 4=-16.56928580949211
#<METADATA>Ln prior of deletion of length 3=-16.22627709547553
#<METADATA>Ln prior of deletion of length 2=-15.320884588292552
#<METADATA>Ln prior of deletion of length 1=-14.952298658258151
#<METADATA>Ln prior of SNV=-10.805442632693792
#<METADATA>Ln prior of insertion of length 1=-15.217097551529465
#<METADATA>Ln prior of insertion of length 2=-15.671202872678375
#<METADATA>Ln prior of insertion of length 3=-15.703495189387793
#<METADATA>Ln prior of insertion of length 4=-16.41160960813556
#<METADATA>Ln prior of insertion of length 5=-16.805019559717987
#<METADATA>Ln prior of insertion of length 6=-16.99762354054348
#<METADATA>Ln prior of insertion of length 7=-17.792755160715398
#<METADATA>Ln prior of insertion of length 8=-17.000743582290195
#<METADATA>Ln prior of insertion of length 9=-17.171585416918443
#<METADATA>Ln prior of insertion of length 10=-19.339500878494963
#<METADATA>Background beta-binomial cluster=weight = 0.7406, alpha = 1.99, beta = 10.91
#<METADATA>High-AF beta-binomial cluster=weight = 0.0046, alpha = 10.00, beta = 1.58
#<METADATA>Binomial cluster=weight = 0.2548, mean = 0.039
#<METADATA>threshold=0.578
#<METADATA>fdr=0.178
#<METADATA>sensitivity=0.864
filter	FP	FDR	FN	FNR
weak_evidence	329.61	0.07	290.22	0.06
strand_bias	545.99	0.11	223.23	0.05
contamination	0.0	0.0	0.0	0.0
normal_artifact	19.44	0.0	32.41	0.01
orientation	1.04	0.0	0.0	0.0
slippage	0.0	0.0	0.1	0.0
haplotype	77.98	0.02	13.1	0.0
germline	8.98	0.0	0.79	0.0
