Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
SRR11352506_1 - illumina_universal_adapter	0.0005497281177365139	0.0005530648589670846	0.0005555674148900125	0.0005555674148900125	0.0005564016001976552	0.0005647434532740818	0.0005689143798122951	0.0005705827504275805	0.0005755878622734364	0.0005902695236879472	0.0006194660094554405	0.000653167095884204	0.0007017166807890068	0.0007739571284308614	0.0008602118892411124	0.0009678217939270159	0.0011057960438111121	0.0013325276104283873	0.0016613634587011243	0.0020724499783074278	0.002707431834485022	0.00373181139227021	0.005514799068825635	0.008861550523087992	0.014932417517988225	0.024963996353575817	0.03981049278487685	0.05814905575103159	0.07736868523911851	0.09537390775633924	0.11330338624762601	0.13277677490629786	0.15402714510731003	0.17695255940606874	0.2005456556250646	0.21411785058041072
SRR11352506_1 - polya	0.027347931125757015	0.032741773324974466	0.03762342574529932	0.042592667622926655	0.047470149116713295	0.0522550360413516	0.057108326161216603	0.061789774107707224	0.0659306699748454	0.07821004454040689	0.09639061280929412	0.11203992918067045	0.12638124298966308	0.1399826344307767	0.1530373008212613	0.1659594985848922	0.17850447775240713	0.1906100080998559	0.20445848522909324	0.21981383469805632	0.23344308792844518	0.24658450959092462	0.2604838720239282	0.27452854953752304	0.28877109580609084	0.3028451366425148	0.31675117255797947	0.3306488666203677	0.3443236663685539	0.35789569448683844	0.37177687168013535	0.38632523028248494	0.40112534601068106	0.41574377617887254	0.4296124405925548	0.43744427277188874
SRR11352506_1 - polyg	0.0	0.0	0.0008016520806445977	0.002075453045414942	0.0032983687064190833	0.0046263917161862	0.006090386931099072	0.007646142529852635	0.009369569375442373	0.014239376364398704	0.02277192420215243	0.03240626399424058	0.04299924954187168	0.054028847679522964	0.06572696192271905	0.07732497392899804	0.0892468166717039	0.10088253385388832	0.11239145486931106	0.12457723384335506	0.13937017557790546	0.9716101630831442	0.9923051327063279	1.0045302852268927	1.0164117534007087	1.0276807627216533	1.0383661760013712	1.0488919262132064	1.0584872261328968	1.06738865071369	1.0757508579116233	1.0835171231257763	1.090850446165263	1.0978063837715724	1.1041238359434118	1.1076946495713067
SRR11352506_2 - illumina_universal_adapter	0.0011661910600844407	0.0011695278013150114	0.001172864542545582	0.0011736987278532247	0.0011753670984685101	0.0011770354690837953	0.0011845431368525793	0.0011870456927755072	0.0011912166193137207	0.0012077334884050455	0.0012330927217573822	0.001268795852924488	0.0013080025623836932	0.0013700659492723072	0.0014438079304679185	0.0015208866528941003	0.001618820008011349	0.0017481187306959613	0.0019211287635010495	0.002107819435351477	0.0024279797564247304	0.002860755094029743	0.003583493244571345	0.004807576765006186	0.006965113644693166	0.010667561714134357	0.016877403981287856	0.02665372211273679	0.0404563190500538	0.05882708156908354	0.08071360148570406	0.1009561089980224	0.12003542851736385	0.14086236625621665	0.16283914502312408	0.1760840056637512
SRR11352506_2 - polya	0.03349837939900636	0.03993411904746949	0.045708349746971993	0.051152243064648	0.056882261942845444	0.06214180030753243	0.06760487988728421	0.07251322623745364	0.07754002690130832	0.09119313783149575	0.11115052080566183	0.12855729878317973	0.14431589342985726	0.16139283453673323	0.17615357671840862	0.1900334192152133	0.20319853174042976	0.2153778040690742	0.2270128539030125	0.2392868896826051	0.2523260402263675	0.2656986980561255	0.2792748971009483	0.2932937148700063	0.30761167149038493	0.3222723114351432	0.33770624116008624	0.3535479206634049	0.37004777237445363	0.3871459017881438	0.4050343383622946	0.4241028134726366	0.44451899836600617	0.46583560288044523	0.4876025006239497	0.5004636360230612
SRR11352506_2 - polyg	0.9123860093076228	0.9138875428613795	0.9152514358393753	0.9165294077306839	0.9179133211560631	0.9193239285112867	0.9206461122239004	0.9220725690999694	0.9243315429130657	0.9313663944494778	0.9406955892560303	0.949549465274288	0.9593109349072609	0.969773287035715	0.9812012920762964	0.9939394685610615	1.0069095485613508	1.019240475778925	1.031556387660961	1.044071002483278	1.057292172261168	1.069531339094901	1.08052573461257	1.0907636908932683	1.100304768767962	1.1094512769921405	1.117910082848699	1.1256454832064693	1.13285701519104	1.1394727720288924	1.14544837506166	1.1509861976449762	1.15617115984316	1.1610054305380109	1.1653845697290117	1.1677826856514228
SRR11352507_1 - illumina_universal_adapter	0.00028673467870015816	0.0002883873281451158	0.00029003997759007353	0.00029169262703503124	0.0002974769000923831	0.00030243484842725616	0.0003049138225946927	0.0003057401473171715	0.00031235074509700225	0.00032838144471309175	0.00035465857088791896	0.00038457152584165305	0.0004167981900183279	0.00046290710953264725	0.000518766660772217	0.0005860294931819948	0.0006709756746528197	0.0007676556671828442	0.0009221783902863877	0.0011775127295323498	0.0016485178213452897	0.0025487159740137403	0.004255902850655028	0.007863471324053154	0.01485616165555811	0.02679258753670948	0.04438471034839503	0.06583543908416778	0.087307652262725	0.10673867811181496	0.12568944403220023	0.14598364868639158	0.16790323406969884	0.19117666987831541	0.21554283749993802	0.22963316140270273
SRR11352507_1 - polya	0.04093282145271192	0.049010145614942595	0.05631981410999043	0.06345512808859523	0.07039625575741751	0.07726549317538411	0.08419505229809168	0.09094364630657639	0.0975046646030584	0.11561902463935056	0.14229113403152263	0.16438804870027385	0.1838744383057699	0.20203738623574385	0.21901125289007073	0.2353300093044164	0.25124634557891484	0.2667387772707816	0.28319305093961383	0.3000621396191304	0.31627644858855475	0.3317399589151348	0.34784387090163593	0.3639834801161482	0.3805403833155122	0.396913511896597	0.41297842135619717	0.42939666726712933	0.4459155595292594	0.4625584004997612	0.4795633369636533	0.4972812263981001	0.5153514606942119	0.5335114338551848	0.5513402160673884	0.5613595685923889
SRR11352507_1 - polyg	0.0	0.0	0.0007998823313595191	0.0020749013781443722	0.0036465710002991296	0.005193450880779522	0.006761815204044364	0.008492965497637537	0.010408386204343494	0.015950050323175598	0.02607385029309738	0.03797920636468355	0.05102059366473362	0.06492780400899703	0.0791136510496803	0.0934660851544153	0.10812905208985786	0.12253404044694252	0.13690548002029454	0.15177304495702285	0.16764261125222904	0.4976818286235579	0.516731918775585	0.5311002183149917	0.5448722419346576	0.5580893058707066	0.5703678301869642	0.5821112266129445	0.5932424816845125	0.6037812619300631	0.6135599886958778	0.622517513952493	0.6310825349659306	0.6389402220169265	0.646182792944509	0.6502688034322224
