Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11352517_2	SRR11352517_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84959695.0	12.6 Gbp	0.0	36-151	51.0	45.3191579011666	148.67162180843516	151	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
SRR11352518_1	SRR11352518_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98993853.0	14.7 Gbp	0.0	36-151	50.0	50.48162607533497	149.0524010920153	151	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
SRR11352518_2	SRR11352518_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98993853.0	14.7 Gbp	0.0	36-151	50.0	52.27078103266771	149.00537014151777	151	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
SRR11352520_1	SRR11352520_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103963145.0	15.3 Gbp	0.0	36-151	52.0	50.95463115008007	148.11044751483806	151	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
SRR11352520_2	SRR11352520_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103963145.0	15.4 Gbp	0.0	36-151	53.0	52.58730599604421	148.2711947584887	151	pass	pass	pass	pass	pass	pass	warn	warn	warn	pass
SRR11352521_1	SRR11352521_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102218464.0	15.1 Gbp	0.0	36-151	54.0	41.40620979193628	148.04575322125757	151	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
SRR11352521_2	SRR11352521_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102218464.0	15.1 Gbp	0.0	36-151	54.0	43.19828709479888	148.07053633676202	151	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass
SRR11352522_1	SRR11352522_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93334630.0	13.8 Gbp	0.0	36-151	51.0	44.55092809138407	148.44269419614136	151	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
SRR11352522_2	SRR11352522_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93334630.0	13.8 Gbp	0.0	36-151	51.0	45.85271358811513	148.45337255850268	151	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
SRR11352523_1	SRR11352523_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94559383.0	14 Gbp	0.0	36-151	52.0	56.59326067945195	148.83553056812988	151	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
SRR11352523_2	SRR11352523_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94559383.0	14 Gbp	0.0	36-151	52.0	57.73393156438641	149.03556286952508	151	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
SRR11352524_1	SRR11352524_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91228087.0	13.4 Gbp	0.0	36-151	52.0	55.03356772036223	147.85403915134162	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352524_2	SRR11352524_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91228087.0	13.5 Gbp	0.0	36-151	52.0	56.61934378431616	148.38610759206207	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352525_1	SRR11352525_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94764106.0	14 Gbp	0.0	36-151	54.0	50.89723306643934	148.35672705021878	151	pass	pass	pass	pass	pass	pass	warn	warn	warn	pass
SRR11352525_2	SRR11352525_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94764106.0	14 Gbp	0.0	36-151	54.0	52.57420349591734	148.41275194428573	151	pass	pass	pass	pass	pass	pass	warn	warn	warn	pass
SRR11352526_1	SRR11352526_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99183527.0	14.7 Gbp	0.0	36-151	53.0	59.39160063851333	148.4083232188345	151	pass	pass	pass	pass	pass	pass	warn	warn	warn	pass
