Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR11352506_1	55.261331607511195	52.0	151.0	151	20.0	179176604.0
SRR11352506_2	53.4245670418035	53.0	151.0	151	20.0	179176604.0
SRR11352507_1	50.217044886322185	51.0	151.0	151	30.0	181382430.0
SRR11352507_2	48.23469814997953	51.0	151.0	151	20.0	181382430.0
SRR11352508_1	49.56176874949115	52.0	151.0	151	20.0	138315512.0
SRR11352508_2	47.45923903772247	52.0	151.0	151	10.0	138315512.0
SRR11352509_1	52.07188072578167	53.0	151.0	151	20.0	150431116.0
SRR11352509_2	48.86189516324721	54.0	151.0	151	10.0	150431116.0
SRR11352510_1	54.35224438754877	52.0	151.0	151	30.0	143532709.0
SRR11352510_2	51.3368094747584	53.0	151.0	151	30.0	143532709.0
SRR11352511_1	64.4863820916082	52.0	151.0	151	30.0	161727439.0
SRR11352511_2	61.94968225234342	53.0	151.0	151	30.0	161727439.0
SRR11352512_1	48.27166457305216	51.0	151.0	151	20.0	138985325.0
SRR11352512_2	46.361440864297144	52.0	151.0	151	20.0	138985325.0
SRR11352513_1	38.89646355395232	52.0	151.0	151	20.0	126997567.0
SRR11352513_2	37.413751838099344	52.0	151.0	151	20.0	126997567.0
SRR11352514_1	46.63071137531518	53.0	151.0	151	20.0	136874809.0
SRR11352514_2	44.76276908920025	53.0	151.0	151	10.0	136874809.0
SRR11352515_1	49.80748029420277	51.0	151.0	151	20.0	177333704.0
SRR11352515_2	48.24144705799021	51.0	151.0	151	20.0	177333704.0
SRR11352516_1	48.480376428802764	51.0	151.0	151	10.0	125131783.0
SRR11352516_2	46.65537430770414	51.0	151.0	151	10.0	125131783.0
SRR11352517_1	58.8861280103463	52.0	151.0	151	30.0	120396919.0
SRR11352517_2	57.010387197124416	52.0	151.0	151	30.0	120396919.0
SRR11352518_1	48.18565670674367	50.0	151.0	151	20.0	118950221.0
SRR11352518_2	46.14438311456064	50.0	151.0	151	20.0	118950221.0
SRR11352519_1	54.5911447121948	52.0	151.0	151	30.0	142793385.0
SRR11352519_2	52.77682483603303	52.0	151.0	151	30.0	142793385.0
SRR11352520_1	54.65747993606694	53.0	151.0	151	30.0	170828536.0
SRR11352520_2	52.66615392336071	54.0	151.0	151	30.0	170828536.0
SRR11352521_1	61.39631770747147	54.0	151.0	151	30.0	144342918.0
SRR11352521_2	59.12798260149692	55.0	151.0	151	20.0	144342918.0
SRR11352522_1	59.00913415450687	52.0	151.0	151	30.0	143174179.0
SRR11352522_2	57.21537690611236	52.0	151.0	151	30.0	143174179.0
SRR11352523_1	51.008200534798576	52.0	151.0	151	30.0	147433324.0
SRR11352523_2	49.488751036049116	52.0	151.0	151	20.0	147433324.0
SRR11352524_1	48.81934564044532	52.0	151.0	151	10.0	132580443.0
SRR11352524_2	46.79275215733972	53.0	151.0	151	10.0	132580443.0
SRR11352525_1	53.85417132963583	54.0	151.0	151	20.0	145916097.0
SRR11352525_2	51.76569413895577	55.0	151.0	151	20.0	145916097.0
SRR11352526_1	45.39904883295591	53.0	151.0	151	10.0	147811941.0
SRR11352526_2	43.552446653331515	54.0	151.0	151	10.0	147811941.0
SRR11352527_1	52.92113003326311	51.0	151.0	151	30.0	117006878.0
SRR11352527_2	50.966312055094605	52.0	151.0	151	30.0	117006878.0
SRR11352528_1	57.583915009424494	53.0	151.0	151	30.0	142333530.0
SRR11352528_2	53.964672068963246	54.0	151.0	151	30.0	142333530.0
SRR11352529_1	70.37299655665586	51.0	151.0	151	40.0	98544252.0
SRR11352529_2	68.27477272728306	52.0	151.0	151	40.0	98544252.0
SRR11352530_1	66.69604642518696	50.0	151.0	151	40.0	104807327.0
SRR11352530_2	64.38836194251064	51.0	151.0	151	40.0	104807327.0
SRR11352531_1	47.69649287920286	53.0	151.0	151	10.0	135146386.0
SRR11352531_2	45.97908050121943	54.0	151.0	151	10.0	135146386.0
SRR11352532_1	57.395871479346134	53.0	151.0	151	20.0	151718854.0
SRR11352532_2	55.43155664482416	54.0	151.0	151	20.0	151718854.0
