## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352528.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352528.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352528.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 05:00:54 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11352528_lib1	344684	93105045	4295787	663630	247557	39780192	0	0.427799	74995152

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	30855471	30855471
2.0	1.288956	13430675	13430675
3.0	1.372452	5462323	5462323
4.0	1.396578	2094533	2094533
5.0	1.40355	801736	801736
6.0	1.405564	321074	321074
7.0	1.406146	138579	138579
8.0	1.406314	65741	65741
9.0	1.406363	34905	34905
10.0	1.406377	21272	21272
11.0	1.406381	14631	14631
12.0	1.406382	10765	10765
13.0	1.406383	8368	8368
14.0	1.406383	7046	7046
15.0	1.406383	5973	5973
16.0	1.406383	5230	5230
17.0	1.406383	4324	4324
18.0	1.406383	3873	3873
19.0	1.406383	3405	3405
20.0	1.406383	2907	2907
21.0	1.406383	2639	2639
22.0	1.406383	2346	2346
23.0	1.406383	2059	2059
24.0	1.406383	1897	1897
25.0	1.406383	1688	1688
26.0	1.406383	1494	1494
27.0	1.406383	1378	1378
28.0	1.406383	1238	1238
29.0	1.406383	1116	1116
30.0	1.406383	994	994
31.0	1.406383	874	874
32.0	1.406383	906	906
33.0	1.406383	781	781
34.0	1.406383	728	728
35.0	1.406383	652	652
36.0	1.406383	582	582
37.0	1.406383	569	569
38.0	1.406383	529	529
39.0	1.406383	498	498
40.0	1.406383	454	454
41.0	1.406383	433	433
42.0	1.406383	397	397
43.0	1.406383	359	359
44.0	1.406383	372	372
45.0	1.406383	335	335
46.0	1.406383	296	296
47.0	1.406383	265	265
48.0	1.406383	254	254
49.0	1.406383	256	256
50.0	1.406383	263	263
51.0	1.406383	248	248
52.0	1.406383	233	233
53.0	1.406383	206	206
54.0	1.406383	192	192
55.0	1.406383	174	174
56.0	1.406383	171	171
57.0	1.406383	159	159
58.0	1.406383	158	158
59.0	1.406383	150	150
60.0	1.406383	136	136
61.0	1.406383	151	151
62.0	1.406383	113	113
63.0	1.406383	127	127
64.0	1.406383	114	114
65.0	1.406383	124	124
66.0	1.406383	113	113
67.0	1.406383	100	100
68.0	1.406383	96	96
69.0	1.406383	83	83
70.0	1.406383	93	93
71.0	1.406383	67	67
72.0	1.406383	80	80
73.0	1.406383	78	78
74.0	1.406383	69	69
75.0	1.406383	65	65
76.0	1.406383	77	77
77.0	1.406383	66	66
78.0	1.406383	66	66
79.0	1.406383	72	72
80.0	1.406383	53	53
81.0	1.406383	46	46
82.0	1.406383	52	52
83.0	1.406383	49	49
84.0	1.406383	51	51
85.0	1.406383	44	44
86.0	1.406383	48	48
87.0	1.406383	46	46
88.0	1.406383	46	46
89.0	1.406383	38	38
90.0	1.406383	44	44
91.0	1.406383	45	45
92.0	1.406383	39	39
93.0	1.406383	38	38
94.0	1.406383	35	35
95.0	1.406383	31	31
96.0	1.406383	31	31
97.0	1.406383	33	33
98.0	1.406383	19	19
99.0	1.406383	28	28
100.0	1.406383	32	32
101.0	0	30	30
102.0	0	27	27
103.0	0	28	28
104.0	0	24	24
105.0	0	26	26
106.0	0	21	21
107.0	0	20	20
108.0	0	25	25
109.0	0	22	22
110.0	0	18	18
111.0	0	15	15
112.0	0	22	22
113.0	0	13	13
114.0	0	25	25
115.0	0	13	13
116.0	0	12	12
117.0	0	15	15
118.0	0	18	18
119.0	0	11	11
120.0	0	21	21
121.0	0	14	14
122.0	0	14	14
123.0	0	8	8
124.0	0	13	13
125.0	0	14	14
126.0	0	11	11
127.0	0	10	10
128.0	0	14	14
129.0	0	7	7
130.0	0	13	13
131.0	0	8	8
132.0	0	9	9
133.0	0	11	11
134.0	0	10	10
135.0	0	10	10
136.0	0	3	3
137.0	0	4	4
138.0	0	11	11
139.0	0	11	11
140.0	0	5	5
141.0	0	7	7
142.0	0	6	6
143.0	0	7	7
144.0	0	7	7
145.0	0	4	4
146.0	0	4	4
147.0	0	6	6
148.0	0	5	5
149.0	0	4	4
150.0	0	3	3
151.0	0	6	6
152.0	0	4	4
153.0	0	7	7
154.0	0	2	2
155.0	0	4	4
156.0	0	5	5
157.0	0	10	10
159.0	0	4	4
160.0	0	4	4
161.0	0	2	2
162.0	0	3	3
163.0	0	5	5
164.0	0	3	3
165.0	0	5	5
166.0	0	7	7
167.0	0	2	2
168.0	0	1	1
169.0	0	3	3
