## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392173.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392173.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392173.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 06:24:58 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11392173_lib1	413291	86100655	433437	629341	347901	30993113	0	0.361117	88734899

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	35293766	35293766
2.0	1.378964	12891335	12891335
3.0	1.522578	4510294	4510294
4.0	1.577003	1529488	1529488
5.0	1.597628	530338	530338
6.0	1.605444	193085	193085
7.0	1.608406	75947	75947
8.0	1.609528	32629	32629
9.0	1.609954	15947	15947
10.0	1.610115	8852	8852
11.0	1.610176	5634	5634
12.0	1.610199	3843	3843
13.0	1.610208	2806	2806
14.0	1.610211	2221	2221
15.0	1.610213	1664	1664
16.0	1.610213	1386	1386
17.0	1.610213	1214	1214
18.0	1.610213	932	932
19.0	1.610213	770	770
20.0	1.610213	643	643
21.0	1.610213	593	593
22.0	1.610213	462	462
23.0	1.610213	393	393
24.0	1.610213	329	329
25.0	1.610213	318	318
26.0	1.610213	274	274
27.0	1.610213	246	246
28.0	1.610213	240	240
29.0	1.610213	209	209
30.0	1.610213	167	167
31.0	1.610213	144	144
32.0	1.610213	138	138
33.0	1.610213	115	115
34.0	1.610213	112	112
35.0	1.610213	85	85
36.0	1.610213	74	74
37.0	1.610213	78	78
38.0	1.610213	53	53
39.0	1.610213	59	59
40.0	1.610213	56	56
41.0	1.610213	32	32
42.0	1.610213	42	42
43.0	1.610213	40	40
44.0	1.610213	27	27
45.0	1.610213	32	32
46.0	1.610213	30	30
47.0	1.610213	20	20
48.0	1.610213	28	28
49.0	1.610213	20	20
50.0	1.610213	13	13
51.0	1.610213	21	21
52.0	1.610213	17	17
53.0	1.610213	21	21
54.0	1.610213	16	16
55.0	1.610213	8	8
56.0	1.610213	19	19
57.0	1.610213	6	6
58.0	1.610213	7	7
59.0	1.610213	6	6
60.0	1.610213	7	7
61.0	1.610213	6	6
62.0	1.610213	8	8
63.0	1.610213	8	8
64.0	1.610213	8	8
65.0	1.610213	4	4
66.0	1.610213	6	6
67.0	1.610213	2	2
68.0	1.610213	3	3
69.0	1.610213	1	1
70.0	1.610213	6	6
71.0	1.610213	3	3
72.0	1.610213	3	3
73.0	1.610213	2	2
74.0	1.610213	3	3
75.0	1.610213	5	5
76.0	1.610213	0	0
77.0	1.610213	2	2
78.0	1.610213	2	2
79.0	1.610213	0	0
80.0	1.610213	1	1
81.0	1.610213	2	2
82.0	1.610213	2	2
83.0	1.610213	4	4
84.0	1.610213	1	1
85.0	1.610213	0	0
86.0	1.610213	2	2
87.0	1.610213	1	1
88.0	1.610213	2	2
89.0	1.610213	1	1
90.0	1.610213	4	4
91.0	1.610213	3	3
92.0	1.610213	1	1
93.0	1.610213	2	2
94.0	1.610213	4	4
95.0	1.610213	4	4
96.0	1.610213	0	0
