## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352516.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352516.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352516.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 03:53:54 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11352516_lib1	119703	43822810	745184	119703	88482	13076456	0	0.298995	57951853

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	21521481	21521481
2.0	1.46945	6497295	6497295
3.0	1.689833	1840397	1840397
4.0	1.793292	506883	506883
5.0	1.841861	143656	143656
6.0	1.864662	42915	42915
7.0	1.875366	13966	13966
8.0	1.88039	4940	4940
9.0	1.882749	2086	2086
10.0	1.883857	1063	1063
11.0	1.884377	549	549
12.0	1.884621	342	342
13.0	1.884735	217	217
14.0	1.884789	150	150
15.0	1.884814	102	102
16.0	1.884826	68	68
17.0	1.884832	52	52
18.0	1.884834	39	39
19.0	1.884836	27	27
20.0	1.884836	18	18
21.0	1.884836	17	17
22.0	1.884836	12	12
23.0	1.884837	9	9
24.0	1.884837	7	7
25.0	1.884837	9	9
26.0	1.884837	6	6
27.0	1.884837	7	7
28.0	1.884837	8	8
29.0	1.884837	2	2
30.0	1.884837	4	4
31.0	1.884837	1	1
32.0	1.884837	1	1
33.0	1.884837	3	3
34.0	1.884837	2	2
35.0	1.884837	5	5
36.0	1.884837	4	4
37.0	1.884837	2	2
38.0	1.884837	3	3
39.0	1.884837	2	2
40.0	1.884837	1	1
41.0	1.884837	2	2
42.0	1.884837	4	4
43.0	1.884837	1	1
44.0	1.884837	2	2
45.0	1.884837	0	0
46.0	1.884837	1	1
47.0	1.884837	4	4
48.0	1.884837	5	5
49.0	1.884837	0	0
50.0	1.884837	1	1
51.0	1.884837	3	3
52.0	1.884837	4	4
53.0	1.884837	3	3
54.0	1.884837	3	3
55.0	1.884837	3	3
56.0	1.884837	1	1
57.0	1.884837	1	1
58.0	1.884837	2	2
59.0	1.884837	1	1
60.0	1.884837	3	3
61.0	1.884837	1	1
62.0	1.884837	3	3
63.0	1.884837	2	2
64.0	1.884837	2	2
65.0	1.884837	1	1
66.0	1.884837	1	1
67.0	1.884837	0	0
68.0	1.884837	3	3
69.0	1.884837	0	0
70.0	1.884837	1	1
71.0	1.884837	3	3
72.0	1.884837	1	1
73.0	1.884837	2	2
74.0	1.884837	1	1
75.0	1.884837	1	1
76.0	1.884837	1	1
77.0	1.884837	1	1
78.0	1.884837	2	2
79.0	1.884837	1	1
80.0	1.884837	1	1
81.0	1.884837	1	1
82.0	1.884837	0	0
83.0	1.884837	0	0
84.0	1.884837	0	0
85.0	1.884837	1	1
86.0	1.884837	1	1
87.0	1.884837	1	1
88.0	1.884837	1	1
89.0	1.884837	3	3
90.0	1.884837	1	1
91.0	1.884837	0	0
92.0	1.884837	2	2
93.0	1.884837	0	0
94.0	1.884837	2	2
95.0	1.884837	1	1
96.0	1.884837	3	3
97.0	1.884837	0	0
98.0	1.884837	1	1
99.0	1.884837	0	0
100.0	1.884837	1	1
