## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392169.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392169.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392169.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 06:10:56 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11392169_lib1	213454	91955802	513856	447662	148155	34969419	0	0.380649	87775085

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	35109974	35109974
2.0	1.350768	13830975	13830975
3.0	1.473806	5212297	5212297
4.0	1.516964	1833105	1833105
5.0	1.532103	622728	622728
6.0	1.537413	215565	215565
7.0	1.539275	79204	79204
8.0	1.539929	32514	32514
9.0	1.540158	15151	15151
10.0	1.540238	8237	8237
11.0	1.540267	5457	5457
12.0	1.540276	3785	3785
13.0	1.54028	2799	2799
14.0	1.540281	2094	2094
15.0	1.540282	1701	1701
16.0	1.540282	1388	1388
17.0	1.540282	1165	1165
18.0	1.540282	996	996
19.0	1.540282	839	839
20.0	1.540282	710	710
21.0	1.540282	639	639
22.0	1.540282	556	556
23.0	1.540282	462	462
24.0	1.540282	393	393
25.0	1.540282	329	329
26.0	1.540282	340	340
27.0	1.540282	259	259
28.0	1.540282	244	244
29.0	1.540282	207	207
30.0	1.540282	206	206
31.0	1.540282	183	183
32.0	1.540282	145	145
33.0	1.540282	144	144
34.0	1.540282	137	137
35.0	1.540282	123	123
36.0	1.540282	95	95
37.0	1.540282	84	84
38.0	1.540282	97	97
39.0	1.540282	58	58
40.0	1.540282	76	76
41.0	1.540282	65	65
42.0	1.540282	49	49
43.0	1.540282	54	54
44.0	1.540282	44	44
45.0	1.540282	39	39
46.0	1.540282	42	42
47.0	1.540282	34	34
48.0	1.540282	26	26
49.0	1.540282	32	32
50.0	1.540282	33	33
51.0	1.540282	29	29
52.0	1.540282	24	24
53.0	1.540282	20	20
54.0	1.540282	15	15
55.0	1.540282	19	19
56.0	1.540282	13	13
57.0	1.540282	20	20
58.0	1.540282	13	13
59.0	1.540282	8	8
60.0	1.540282	16	16
61.0	1.540282	8	8
62.0	1.540282	9	9
63.0	1.540282	11	11
64.0	1.540282	8	8
65.0	1.540282	15	15
66.0	1.540282	6	6
67.0	1.540282	7	7
68.0	1.540282	8	8
69.0	1.540282	3	3
70.0	1.540282	4	4
71.0	1.540282	3	3
72.0	1.540282	2	2
73.0	1.540282	3	3
74.0	1.540282	4	4
75.0	1.540282	4	4
76.0	1.540282	5	5
77.0	1.540282	3	3
78.0	1.540282	3	3
79.0	1.540282	2	2
80.0	1.540282	1	1
81.0	1.540282	5	5
82.0	1.540282	1	1
83.0	1.540282	2	2
84.0	1.540282	5	5
85.0	1.540282	3	3
86.0	1.540282	0	0
87.0	1.540282	5	5
88.0	1.540282	6	6
89.0	1.540282	4	4
90.0	1.540282	4	4
91.0	1.540282	2	2
92.0	1.540282	2	2
93.0	1.540282	3	3
94.0	1.540282	1	1
95.0	1.540282	1	1
96.0	1.540282	1	1
