## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352507.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352507.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352507.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 03:24:25 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11352507_lib1	265516	120591804	968611	586476	180067	41447457	0	0.344068	132379171

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	51871213	51871213
2.0	1.402139	18410505	18410505
3.0	1.563855	5946869	5946869
4.0	1.628887	1886306	1886306
5.0	1.655039	623795	623795
6.0	1.665556	220943	220943
7.0	1.669785	85524	85524
8.0	1.671486	37437	37437
9.0	1.672169	18846	18846
10.0	1.672445	11007	11007
11.0	1.672555	7016	7016
12.0	1.6726	4909	4909
13.0	1.672617	3532	3532
14.0	1.672625	2766	2766
15.0	1.672628	2083	2083
16.0	1.672629	1657	1657
17.0	1.672629	1369	1369
18.0	1.672629	1201	1201
19.0	1.672629	942	942
20.0	1.672629	753	753
21.0	1.67263	678	678
22.0	1.67263	593	593
23.0	1.67263	497	497
24.0	1.67263	422	422
25.0	1.67263	382	382
26.0	1.67263	288	288
27.0	1.67263	252	252
28.0	1.67263	256	256
29.0	1.67263	202	202
30.0	1.67263	175	175
31.0	1.67263	174	174
32.0	1.67263	141	141
33.0	1.67263	120	120
34.0	1.67263	102	102
35.0	1.67263	108	108
36.0	1.67263	94	94
37.0	1.67263	100	100
38.0	1.67263	83	83
39.0	1.67263	59	59
40.0	1.67263	76	76
41.0	1.67263	57	57
42.0	1.67263	56	56
43.0	1.67263	44	44
44.0	1.67263	45	45
45.0	1.67263	42	42
46.0	1.67263	27	27
47.0	1.67263	37	37
48.0	1.67263	28	28
49.0	1.67263	31	31
50.0	1.67263	22	22
51.0	1.67263	15	15
52.0	1.67263	22	22
53.0	1.67263	19	19
54.0	1.67263	23	23
55.0	1.67263	11	11
56.0	1.67263	11	11
57.0	1.67263	14	14
58.0	1.67263	14	14
59.0	1.67263	9	9
60.0	1.67263	14	14
61.0	1.67263	8	8
62.0	1.67263	7	7
63.0	1.67263	7	7
64.0	1.67263	8	8
65.0	1.67263	5	5
66.0	1.67263	6	6
67.0	1.67263	6	6
68.0	1.67263	3	3
69.0	1.67263	4	4
70.0	1.67263	4	4
71.0	1.67263	4	4
72.0	1.67263	5	5
73.0	1.67263	5	5
74.0	1.67263	6	6
75.0	1.67263	6	6
76.0	1.67263	4	4
77.0	1.67263	4	4
78.0	1.67263	0	0
79.0	1.67263	2	2
80.0	1.67263	6	6
81.0	1.67263	1	1
82.0	1.67263	4	4
83.0	1.67263	2	2
84.0	1.67263	2	2
85.0	1.67263	3	3
86.0	1.67263	0	0
87.0	1.67263	2	2
88.0	1.67263	0	0
89.0	1.67263	1	1
90.0	1.67263	1	1
91.0	1.67263	4	4
92.0	1.67263	0	0
93.0	1.67263	5	5
94.0	1.67263	2	2
95.0	1.67263	0	0
96.0	1.67263	2	2
