## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352506.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352506.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352506.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 03:24:25 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11352506_lib1	355957	119336013	1324772	726899	274044	47164388	0	0.395781	107814343

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	43524332	43524332
2.0	1.330593	17788763	17788763
3.0	1.439886	6893399	6893399
4.0	1.476017	2497293	2497293
5.0	1.487962	891083	891083
6.0	1.49191	327416	327416
7.0	1.493216	127508	127508
8.0	1.493647	53006	53006
9.0	1.49379	24437	24437
10.0	1.493837	12827	12827
11.0	1.493853	7550	7550
12.0	1.493858	4990	4990
13.0	1.49386	3555	3555
14.0	1.49386	2610	2610
15.0	1.49386	1992	1992
16.0	1.493861	1561	1561
17.0	1.493861	1306	1306
18.0	1.493861	1068	1068
19.0	1.493861	835	835
20.0	1.493861	732	732
21.0	1.493861	571	571
22.0	1.493861	541	541
23.0	1.493861	457	457
24.0	1.493861	395	395
25.0	1.493861	341	341
26.0	1.493861	279	279
27.0	1.493861	262	262
28.0	1.493861	229	229
29.0	1.493861	201	201
30.0	1.493861	199	199
31.0	1.493861	169	169
32.0	1.493861	145	145
33.0	1.493861	137	137
34.0	1.493861	111	111
35.0	1.493861	109	109
36.0	1.493861	89	89
37.0	1.493861	65	65
38.0	1.493861	64	64
39.0	1.493861	54	54
40.0	1.493861	68	68
41.0	1.493861	54	54
42.0	1.493861	46	46
43.0	1.493861	44	44
44.0	1.493861	38	38
45.0	1.493861	28	28
46.0	1.493861	36	36
47.0	1.493861	31	31
48.0	1.493861	25	25
49.0	1.493861	19	19
50.0	1.493861	27	27
51.0	1.493861	16	16
52.0	1.493861	18	18
53.0	1.493861	10	10
54.0	1.493861	12	12
55.0	1.493861	12	12
56.0	1.493861	15	15
57.0	1.493861	9	9
58.0	1.493861	7	7
59.0	1.493861	8	8
60.0	1.493861	4	4
61.0	1.493861	9	9
62.0	1.493861	4	4
63.0	1.493861	5	5
64.0	1.493861	2	2
65.0	1.493861	1	1
66.0	1.493861	3	3
67.0	1.493861	5	5
68.0	1.493861	7	7
69.0	1.493861	4	4
70.0	1.493861	1	1
71.0	1.493861	4	4
72.0	1.493861	0	0
73.0	1.493861	2	2
74.0	1.493861	1	1
75.0	1.493861	3	3
76.0	1.493861	1	1
77.0	1.493861	5	5
78.0	1.493861	1	1
79.0	1.493861	2	2
80.0	1.493861	2	2
81.0	1.493861	3	3
82.0	1.493861	2	2
83.0	1.493861	1	1
84.0	1.493861	3	3
85.0	1.493861	3	3
86.0	1.493861	4	4
87.0	1.493861	0	0
88.0	1.493861	0	0
89.0	1.493861	1	1
90.0	1.493861	3	3
91.0	1.493861	0	0
92.0	1.493861	1	1
93.0	1.493861	0	0
94.0	1.493861	3	3
95.0	1.493861	4	4
96.0	1.493861	3	3
