## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392171.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392171.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392171.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 06:18:57 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11392171_lib1	284777	90234644	442035	625925	227187	47073372	0	0.522112	52644491

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	20793248	20793248
2.0	1.180137	10577006	10577006
3.0	1.212586	5824168	5824168
4.0	1.218432	2999211	2999211
5.0	1.219485	1485142	1485142
6.0	1.219674	725195	725195
7.0	1.219708	356679	356679
8.0	1.219715	179303	179303
9.0	1.219716	92794	92794
10.0	1.219716	49909	49909
11.0	1.219716	27543	27543
12.0	1.219716	16120	16120
13.0	1.219716	9639	9639
14.0	1.219716	6084	6084
15.0	1.219716	3908	3908
16.0	1.219716	2706	2706
17.0	1.219716	2017	2017
18.0	1.219716	1523	1523
19.0	1.219716	1192	1192
20.0	1.219716	926	926
21.0	1.219716	763	763
22.0	1.219716	655	655
23.0	1.219716	570	570
24.0	1.219716	496	496
25.0	1.219716	353	353
26.0	1.219716	389	389
27.0	1.219716	357	357
28.0	1.219716	275	275
29.0	1.219716	267	267
30.0	1.219716	243	243
31.0	1.219716	221	221
32.0	1.219716	190	190
33.0	1.219716	154	154
34.0	1.219716	152	152
35.0	1.219716	123	123
36.0	1.219716	110	110
37.0	1.219716	111	111
38.0	1.219716	107	107
39.0	1.219716	104	104
40.0	1.219716	80	80
41.0	1.219716	65	65
42.0	1.219716	63	63
43.0	1.219716	61	61
44.0	1.219716	47	47
45.0	1.219716	46	46
46.0	1.219716	56	56
47.0	1.219716	44	44
48.0	1.219716	42	42
49.0	1.219716	35	35
50.0	1.219716	36	36
51.0	1.219716	28	28
52.0	1.219716	24	24
53.0	1.219716	26	26
54.0	1.219716	25	25
55.0	1.219716	29	29
56.0	1.219716	21	21
57.0	1.219716	25	25
58.0	1.219716	25	25
59.0	1.219716	13	13
60.0	1.219716	18	18
61.0	1.219716	22	22
62.0	1.219716	15	15
63.0	1.219716	17	17
64.0	1.219716	18	18
65.0	1.219716	13	13
66.0	1.219716	7	7
67.0	1.219716	15	15
68.0	1.219716	9	9
69.0	1.219716	4	4
70.0	1.219716	6	6
71.0	1.219716	11	11
72.0	1.219716	7	7
73.0	1.219716	9	9
74.0	1.219716	6	6
75.0	1.219716	2	2
76.0	1.219716	3	3
77.0	1.219716	6	6
78.0	1.219716	7	7
79.0	1.219716	4	4
80.0	1.219716	5	5
81.0	1.219716	8	8
82.0	1.219716	5	5
83.0	1.219716	9	9
84.0	1.219716	2	2
85.0	1.219716	2	2
86.0	1.219716	3	3
87.0	1.219716	5	5
88.0	1.219716	4	4
89.0	1.219716	1	1
90.0	1.219716	2	2
91.0	1.219716	2	2
92.0	1.219716	2	2
93.0	1.219716	5	5
94.0	1.219716	5	5
95.0	1.219716	2	2
