## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352512.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352512.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352512.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 03:24:25 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11352512_lib1	733519	92839656	466290	1028419	656308	31409821	0	0.340513	104103903

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	40177735	40177735
2.0	1.409918	14454513	14454513
3.0	1.577951	4682858	4682858
4.0	1.646831	1433745	1433745
5.0	1.675066	443813	443813
6.0	1.68664	144146	144146
7.0	1.691384	50793	50793
8.0	1.693329	19987	19987
9.0	1.694126	8835	8835
10.0	1.694453	4584	4584
11.0	1.694587	2594	2594
12.0	1.694642	1665	1665
13.0	1.694664	1101	1101
14.0	1.694673	752	752
15.0	1.694677	558	558
16.0	1.694679	414	414
17.0	1.694679	312	312
18.0	1.69468	255	255
19.0	1.69468	181	181
20.0	1.69468	147	147
21.0	1.69468	128	128
22.0	1.69468	112	112
23.0	1.69468	80	80
24.0	1.69468	66	66
25.0	1.69468	49	49
26.0	1.69468	45	45
27.0	1.69468	41	41
28.0	1.69468	29	29
29.0	1.69468	24	24
30.0	1.69468	10	10
31.0	1.69468	12	12
32.0	1.69468	13	13
33.0	1.69468	15	15
34.0	1.69468	12	12
35.0	1.69468	14	14
36.0	1.69468	6	6
37.0	1.69468	6	6
38.0	1.69468	8	8
39.0	1.69468	6	6
40.0	1.69468	6	6
41.0	1.69468	3	3
42.0	1.69468	1	1
43.0	1.69468	2	2
44.0	1.69468	4	4
45.0	1.69468	1	1
46.0	1.69468	4	4
47.0	1.69468	2	2
48.0	1.69468	1	1
49.0	1.69468	2	2
50.0	1.69468	1	1
51.0	1.69468	0	0
52.0	1.69468	0	0
53.0	1.69468	4	4
54.0	1.69468	0	0
55.0	1.69468	2	2
56.0	1.69468	1	1
57.0	1.69468	2	2
58.0	1.69468	0	0
59.0	1.69468	0	0
60.0	1.69468	4	4
61.0	1.69468	2	2
62.0	1.69468	1	1
63.0	1.69468	1	1
64.0	1.69468	2	2
65.0	1.69468	2	2
66.0	1.69468	3	3
67.0	1.69468	0	0
68.0	1.69468	2	2
69.0	1.69468	1	1
70.0	1.69468	4	4
71.0	1.69468	1	1
72.0	1.69468	0	0
73.0	1.69468	1	1
74.0	1.69468	1	1
75.0	1.69468	0	0
76.0	1.69468	0	0
77.0	1.69468	2	2
78.0	1.69468	3	3
79.0	1.69468	0	0
80.0	1.69468	2	2
81.0	1.69468	1	1
82.0	1.69468	2	2
83.0	1.69468	1	1
84.0	1.69468	1	1
85.0	1.69468	2	2
86.0	1.69468	6	6
87.0	1.69468	0	0
88.0	1.69468	2	2
89.0	1.69468	0	0
90.0	1.69468	2	2
91.0	1.69468	1	1
92.0	1.69468	1	1
93.0	1.69468	0	0
94.0	1.69468	0	0
95.0	1.69468	1	1
96.0	1.69468	0	0
97.0	1.69468	2	2
98.0	1.69468	1	1
99.0	1.69468	2	2
100.0	1.69468	0	0
101.0	0	1	1
102.0	0	1	1
106.0	0	1	1
107.0	0	1	1
114.0	0	1	1
115.0	0	1	1
119.0	0	1	1
120.0	0	2	2
122.0	0	1	1
134.0	0	1	1
148.0	0	1	1
150.0	0	1	1
153.0	0	2	2
154.0	0	1	1
161.0	0	1	1
165.0	0	1	1
169.0	0	1	1
171.0	0	1	1
179.0	0	1	1
183.0	0	1	1
185.0	0	1	1
187.0	0	1	1
191.0	0	1	1
192.0	0	1	1
195.0	0	1	1
197.0	0	1	1
202.0	0	1	1
205.0	0	1	1
206.0	0	1	1
215.0	0	1	1
222.0	0	1	1
225.0	0	1	1
230.0	0	1	1
260.0	0	1	1
261.0	0	1	1
298.0	0	1	1
306.0	0	1	1
311.0	0	1	1
326.0	0	1	1
328.0	0	1	1
344.0	0	1	1
357.0	0	1	1
369.0	0	1	1
385.0	0	1	1
386.0	0	1	1
390.0	0	1	1
402.0	0	1	1
444.0	0	1	1
475.0	0	1	1
476.0	0	1	1
511.0	0	1	1
589.0	0	2	2
606.0	0	1	1
608.0	0	1	1
627.0	0	1	1
670.0	0	1	1
674.0	0	1	1
677.0	0	1	1
746.0	0	1	1
750.0	0	1	1
771.0	0	1	1
845.0	0	1	1
916.0	0	1	1
985.0	0	1	1
1018.0	0	1	1
1045.0	0	1	1
1116.0	0	1	1
1126.0	0	1	1
1197.0	0	1	1
1218.0	0	1	1
1226.0	0	1	1
1361.0	0	1	1
1721.0	0	1	1
2574.0	0	1	1
80857.0	0	1	1

