## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392167.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392167.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392167.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 06:04:30 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11392167_lib1	284422	91089796	484612	603906	214673	41525304	0	0.456338	66415748

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	26862021	26862021
2.0	1.253724	12566202	12566202
3.0	1.3181	5767352	5767352
4.0	1.334433	2478620	2478620
5.0	1.338577	1044261	1044261
6.0	1.339629	445000	445000
7.0	1.339896	198259	198259
8.0	1.339963	91131	91131
9.0	1.339981	44629	44629
10.0	1.339985	22990	22990
11.0	1.339986	12814	12814
12.0	1.339986	7700	7700
13.0	1.339986	4909	4909
14.0	1.339986	3421	3421
15.0	1.339986	2495	2495
16.0	1.339986	1931	1931
17.0	1.339986	1550	1550
18.0	1.339986	1210	1210
19.0	1.339986	969	969
20.0	1.339986	841	841
21.0	1.339986	683	683
22.0	1.339986	580	580
23.0	1.339986	498	498
24.0	1.339986	448	448
25.0	1.339986	355	355
26.0	1.339986	346	346
27.0	1.339986	311	311
28.0	1.339986	238	238
29.0	1.339986	218	218
30.0	1.339986	205	205
31.0	1.339986	188	188
32.0	1.339986	141	141
33.0	1.339986	158	158
34.0	1.339986	123	123
35.0	1.339986	125	125
36.0	1.339986	126	126
37.0	1.339986	103	103
38.0	1.339986	78	78
39.0	1.339986	73	73
40.0	1.339986	76	76
41.0	1.339986	64	64
42.0	1.339986	55	55
43.0	1.339986	55	55
44.0	1.339986	45	45
45.0	1.339986	56	56
46.0	1.339986	31	31
47.0	1.339986	41	41
48.0	1.339986	29	29
49.0	1.339986	35	35
50.0	1.339986	37	37
51.0	1.339986	22	22
52.0	1.339986	27	27
53.0	1.339986	25	25
54.0	1.339986	21	21
55.0	1.339986	22	22
56.0	1.339986	19	19
57.0	1.339986	10	10
58.0	1.339986	15	15
59.0	1.339986	14	14
60.0	1.339986	15	15
61.0	1.339986	18	18
62.0	1.339986	15	15
63.0	1.339986	14	14
64.0	1.339986	15	15
65.0	1.339986	14	14
66.0	1.339986	9	9
67.0	1.339986	9	9
68.0	1.339986	3	3
69.0	1.339986	6	6
70.0	1.339986	4	4
71.0	1.339986	8	8
72.0	1.339986	9	9
73.0	1.339986	3	3
74.0	1.339986	8	8
75.0	1.339986	7	7
76.0	1.339986	3	3
77.0	1.339986	2	2
78.0	1.339986	4	4
79.0	1.339986	8	8
80.0	1.339986	3	3
81.0	1.339986	4	4
82.0	1.339986	3	3
83.0	1.339986	5	5
84.0	1.339986	3	3
85.0	1.339986	3	3
86.0	1.339986	3	3
87.0	1.339986	1	1
88.0	1.339986	2	2
89.0	1.339986	2	2
90.0	1.339986	1	1
91.0	1.339986	4	4
92.0	1.339986	1	1
93.0	1.339986	4	4
94.0	1.339986	0	0
95.0	1.339986	3	3
