## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392175.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392175.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11392175.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 06:43:27 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11392175_lib1	740894	93268968	538665	1020976	680804	45065303	0	0.484899	61950093

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	25052277	25052277
2.0	1.221895	12058476	12058476
3.0	1.271133	5869641	5869641
4.0	1.282058	2738603	2738603
5.0	1.284483	1270547	1270547
6.0	1.285021	598111	598111
7.0	1.28514	288907	288907
8.0	1.285166	143722	143722
9.0	1.285172	74133	74133
10.0	1.285174	39575	39575
11.0	1.285174	21945	21945
12.0	1.285174	12972	12972
13.0	1.285174	7980	7980
14.0	1.285174	5450	5450
15.0	1.285174	3681	3681
16.0	1.285174	2782	2782
17.0	1.285174	2086	2086
18.0	1.285174	1690	1690
19.0	1.285174	1398	1398
20.0	1.285174	1098	1098
21.0	1.285174	953	953
22.0	1.285174	755	755
23.0	1.285174	642	642
24.0	1.285174	621	621
25.0	1.285174	524	524
26.0	1.285174	468	468
27.0	1.285174	393	393
28.0	1.285174	347	347
29.0	1.285174	320	320
30.0	1.285174	299	299
31.0	1.285174	258	258
32.0	1.285174	243	243
33.0	1.285174	215	215
34.0	1.285174	189	189
35.0	1.285174	170	170
36.0	1.285174	153	153
37.0	1.285174	156	156
38.0	1.285174	120	120
39.0	1.285174	106	106
40.0	1.285174	95	95
41.0	1.285174	102	102
42.0	1.285174	98	98
43.0	1.285174	81	81
44.0	1.285174	80	80
45.0	1.285174	80	80
46.0	1.285174	67	67
47.0	1.285174	78	78
48.0	1.285174	52	52
49.0	1.285174	51	51
50.0	1.285174	46	46
51.0	1.285174	47	47
52.0	1.285174	42	42
53.0	1.285174	36	36
54.0	1.285174	35	35
55.0	1.285174	28	28
56.0	1.285174	33	33
57.0	1.285174	39	39
58.0	1.285174	34	34
59.0	1.285174	25	25
60.0	1.285174	16	16
61.0	1.285174	20	20
62.0	1.285174	25	25
63.0	1.285174	18	18
64.0	1.285174	16	16
65.0	1.285174	17	17
66.0	1.285174	21	21
67.0	1.285174	16	16
68.0	1.285174	13	13
69.0	1.285174	16	16
70.0	1.285174	18	18
71.0	1.285174	10	10
72.0	1.285174	10	10
73.0	1.285174	11	11
74.0	1.285174	5	5
75.0	1.285174	7	7
76.0	1.285174	5	5
77.0	1.285174	7	7
78.0	1.285174	7	7
79.0	1.285174	4	4
80.0	1.285174	5	5
81.0	1.285174	4	4
82.0	1.285174	7	7
83.0	1.285174	6	6
84.0	1.285174	9	9
85.0	1.285174	9	9
86.0	1.285174	2	2
87.0	1.285174	3	3
88.0	1.285174	2	2
89.0	1.285174	5	5
90.0	1.285174	1	1
91.0	1.285174	3	3
92.0	1.285174	0	0
93.0	1.285174	6	6
94.0	1.285174	2	2
95.0	1.285174	5	5
