## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352529.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352529.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352529.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 05:01:55 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11352529_lib1	414423	68982448	1293658	848375	358075	44035214	0	0.63903	27062392

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9670517	9670517
2.0	1.078159	4688771	4688771
3.0	1.084267	3764492	3764492
4.0	1.084745	2688283	2688283
5.0	1.084782	1728813	1728813
6.0	1.084785	1028369	1028369
7.0	1.084785	583000	583000
8.0	1.084785	324785	324785
9.0	1.084785	182035	182035
10.0	1.084785	104679	104679
11.0	1.084785	61312	61312
12.0	1.084785	37627	37627
13.0	1.084785	23374	23374
14.0	1.084785	15133	15133
15.0	1.084785	9874	9874
16.0	1.084785	6850	6850
17.0	1.084785	4796	4796
18.0	1.084785	3555	3555
19.0	1.084785	2812	2812
20.0	1.084785	2185	2185
21.0	1.084785	1863	1863
22.0	1.084785	1498	1498
23.0	1.084785	1321	1321
24.0	1.084785	1107	1107
25.0	1.084785	933	933
26.0	1.084785	822	822
27.0	1.084785	743	743
28.0	1.084785	681	681
29.0	1.084785	557	557
30.0	1.084785	566	566
31.0	1.084785	434	434
32.0	1.084785	432	432
33.0	1.084785	392	392
34.0	1.084785	347	347
35.0	1.084785	320	320
36.0	1.084785	303	303
37.0	1.084785	225	225
38.0	1.084785	240	240
39.0	1.084785	226	226
40.0	1.084785	194	194
41.0	1.084785	179	179
42.0	1.084785	140	140
43.0	1.084785	137	137
44.0	1.084785	146	146
45.0	1.084785	133	133
46.0	1.084785	115	115
47.0	1.084785	115	115
48.0	1.084785	107	107
49.0	1.084785	82	82
50.0	1.084785	74	74
51.0	1.084785	87	87
52.0	1.084785	61	61
53.0	1.084785	62	62
54.0	1.084785	61	61
55.0	1.084785	69	69
56.0	1.084785	60	60
57.0	1.084785	46	46
58.0	1.084785	54	54
59.0	1.084785	42	42
60.0	1.084785	46	46
61.0	1.084785	49	49
62.0	1.084785	36	36
63.0	1.084785	26	26
64.0	1.084785	30	30
65.0	1.084785	26	26
66.0	1.084785	29	29
67.0	1.084785	40	40
68.0	1.084785	25	25
69.0	1.084785	23	23
70.0	1.084785	24	24
71.0	1.084785	23	23
72.0	1.084785	17	17
73.0	1.084785	24	24
74.0	1.084785	15	15
75.0	1.084785	9	9
76.0	1.084785	10	10
77.0	1.084785	14	14
78.0	1.084785	7	7
79.0	1.084785	10	10
80.0	1.084785	11	11
81.0	1.084785	8	8
82.0	1.084785	13	13
83.0	1.084785	9	9
84.0	1.084785	13	13
85.0	1.084785	10	10
86.0	1.084785	8	8
87.0	1.084785	10	10
88.0	1.084785	1	1
89.0	1.084785	6	6
90.0	1.084785	4	4
91.0	1.084785	5	5
92.0	1.084785	5	5
93.0	1.084785	3	3
94.0	1.084785	6	6
95.0	1.084785	6	6
96.0	1.084785	3	3
97.0	1.084785	9	9
98.0	1.084785	1	1
99.0	1.084785	3	3
100.0	1.084785	5	5
101.0	0	5	5
102.0	0	3	3
103.0	0	4	4
104.0	0	3	3
105.0	0	2	2
106.0	0	2	2
107.0	0	3	3
108.0	0	5	5
109.0	0	2	2
110.0	0	5	5
111.0	0	1	1
112.0	0	1	1
113.0	0	1	1
114.0	0	1	1
115.0	0	2	2
116.0	0	1	1
117.0	0	1	1
118.0	0	3	3
119.0	0	1	1
120.0	0	1	1
121.0	0	2	2
122.0	0	1	1
123.0	0	2	2
124.0	0	3	3
125.0	0	1	1
126.0	0	1	1
128.0	0	1	1
132.0	0	2	2
133.0	0	2	2
134.0	0	2	2
137.0	0	1	1
138.0	0	1	1
139.0	0	3	3
141.0	0	2	2
143.0	0	1	1
145.0	0	1	1
146.0	0	4	4
147.0	0	1	1
148.0	0	4	4
149.0	0	2	2
150.0	0	1	1
151.0	0	1	1
152.0	0	1	1
153.0	0	3	3
155.0	0	1	1
156.0	0	1	1
157.0	0	1	1
159.0	0	1	1
161.0	0	2	2
162.0	0	1	1
163.0	0	1	1
164.0	0	3	3
165.0	0	1	1
166.0	0	1	1
167.0	0	1	1
169.0	0	2	2
170.0	0	3	3
171.0	0	1	1
172.0	0	2	2
175.0	0	2	2
177.0	0	1	1
179.0	0	1	1
180.0	0	3	3
186.0	0	2	2
188.0	0	1	1
189.0	0	2	2
190.0	0	2	2
191.0	0	2	2
194.0	0	1	1
199.0	0	2	2
201.0	0	1	1
202.0	0	1	1
203.0	0	2	2
205.0	0	1	1
