## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352525.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352525.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352525.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 04:45:27 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11352525_lib1	238634	94392832	1254838	503914	163462	36587818	0	0.387988	87691414

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	35477109	35477109
2.0	1.340813	14009122	14009122
3.0	1.456967	5292907	5292907
4.0	1.496554	1890645	1890645
5.0	1.510045	667756	667756
6.0	1.514644	243474	243474
7.0	1.516211	96372	96372
8.0	1.516745	42939	42939
9.0	1.516927	21908	21908
10.0	1.516989	13018	13018
11.0	1.51701	8817	8817
12.0	1.517017	6339	6339
13.0	1.51702	4967	4967
14.0	1.51702	3984	3984
15.0	1.517021	3257	3257
16.0	1.517021	2638	2638
17.0	1.517021	2263	2263
18.0	1.517021	1866	1866
19.0	1.517021	1649	1649
20.0	1.517021	1475	1475
21.0	1.517021	1256	1256
22.0	1.517021	1084	1084
23.0	1.517021	1014	1014
24.0	1.517021	853	853
25.0	1.517021	713	713
26.0	1.517021	651	651
27.0	1.517021	592	592
28.0	1.517021	536	536
29.0	1.517021	477	477
30.0	1.517021	400	400
31.0	1.517021	388	388
32.0	1.517021	356	356
33.0	1.517021	301	301
34.0	1.517021	285	285
35.0	1.517021	273	273
36.0	1.517021	252	252
37.0	1.517021	209	209
38.0	1.517021	208	208
39.0	1.517021	187	187
40.0	1.517021	171	171
41.0	1.517021	194	194
42.0	1.517021	131	131
43.0	1.517021	140	140
44.0	1.517021	124	124
45.0	1.517021	120	120
46.0	1.517021	90	90
47.0	1.517021	80	80
48.0	1.517021	95	95
49.0	1.517021	64	64
50.0	1.517021	78	78
51.0	1.517021	63	63
52.0	1.517021	72	72
53.0	1.517021	86	86
54.0	1.517021	65	65
55.0	1.517021	52	52
56.0	1.517021	56	56
57.0	1.517021	46	46
58.0	1.517021	45	45
59.0	1.517021	35	35
60.0	1.517021	38	38
61.0	1.517021	34	34
62.0	1.517021	30	30
63.0	1.517021	29	29
64.0	1.517021	24	24
65.0	1.517021	25	25
66.0	1.517021	13	13
67.0	1.517021	16	16
68.0	1.517021	26	26
69.0	1.517021	21	21
70.0	1.517021	12	12
71.0	1.517021	12	12
72.0	1.517021	21	21
73.0	1.517021	13	13
74.0	1.517021	13	13
75.0	1.517021	10	10
76.0	1.517021	10	10
77.0	1.517021	7	7
78.0	1.517021	13	13
79.0	1.517021	9	9
80.0	1.517021	8	8
81.0	1.517021	10	10
82.0	1.517021	4	4
83.0	1.517021	4	4
84.0	1.517021	8	8
85.0	1.517021	6	6
86.0	1.517021	5	5
87.0	1.517021	6	6
88.0	1.517021	8	8
89.0	1.517021	2	2
90.0	1.517021	4	4
91.0	1.517021	3	3
92.0	1.517021	4	4
93.0	1.517021	3	3
94.0	1.517021	5	5
95.0	1.517021	5	5
