## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352523.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352523.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352523.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 04:36:25 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11352523_lib1	182194	94278085	600141	380402	130067	24352142	0	0.258741	149491342

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	51955982	51955982
2.0	1.532241	13613586	13613586
3.0	1.815521	3293052	3293052
4.0	1.966295	776143	776143
5.0	2.046542	189742	189742
6.0	2.089253	52557	52557
7.0	2.111986	17617	17617
8.0	2.124085	7772	7772
9.0	2.130525	4478	4478
10.0	2.133952	2950	2950
11.0	2.135777	2234	2234
12.0	2.136748	1640	1640
13.0	2.137264	1342	1342
14.0	2.137539	1042	1042
15.0	2.137686	858	858
16.0	2.137764	683	683
17.0	2.137805	581	581
18.0	2.137827	511	511
19.0	2.137839	416	416
20.0	2.137845	337	337
21.0	2.137849	308	308
22.0	2.13785	241	241
23.0	2.137851	218	218
24.0	2.137852	195	195
25.0	2.137852	173	173
26.0	2.137852	123	123
27.0	2.137852	106	106
28.0	2.137852	111	111
29.0	2.137852	104	104
30.0	2.137852	70	70
31.0	2.137852	64	64
32.0	2.137852	72	72
33.0	2.137852	51	51
34.0	2.137852	49	49
35.0	2.137852	38	38
36.0	2.137852	25	25
37.0	2.137852	33	33
38.0	2.137852	14	14
39.0	2.137852	20	20
40.0	2.137852	15	15
41.0	2.137852	15	15
42.0	2.137852	12	12
43.0	2.137852	15	15
44.0	2.137852	10	10
45.0	2.137852	10	10
46.0	2.137852	7	7
47.0	2.137852	5	5
48.0	2.137852	5	5
49.0	2.137852	5	5
50.0	2.137852	9	9
51.0	2.137852	5	5
52.0	2.137852	6	6
53.0	2.137852	3	3
54.0	2.137852	2	2
55.0	2.137852	2	2
56.0	2.137852	4	4
57.0	2.137852	2	2
58.0	2.137852	2	2
59.0	2.137852	1	1
60.0	2.137852	2	2
61.0	2.137852	7	7
62.0	2.137852	2	2
63.0	2.137852	3	3
64.0	2.137852	1	1
65.0	2.137852	2	2
66.0	2.137852	3	3
67.0	2.137852	3	3
68.0	2.137852	6	6
69.0	2.137852	3	3
70.0	2.137852	2	2
71.0	2.137852	2	2
72.0	2.137852	3	3
73.0	2.137852	2	2
74.0	2.137852	4	4
75.0	2.137852	3	3
76.0	2.137852	4	4
77.0	2.137852	1	1
78.0	2.137852	2	2
79.0	2.137852	2	2
80.0	2.137852	0	0
81.0	2.137852	2	2
82.0	2.137852	0	0
83.0	2.137852	1	1
84.0	2.137852	0	0
85.0	2.137852	1	1
86.0	2.137852	0	0
87.0	2.137852	3	3
88.0	2.137852	1	1
89.0	2.137852	2	2
90.0	2.137852	2	2
91.0	2.137852	1	1
92.0	2.137852	1	1
93.0	2.137852	3	3
94.0	2.137852	3	3
95.0	2.137852	3	3
96.0	2.137852	0	0
97.0	2.137852	0	0
98.0	2.137852	0	0
99.0	2.137852	1	1
100.0	2.137852	1	1
103.0	0	1	1
105.0	0	2	2
107.0	0	1	1
108.0	0	1	1
110.0	0	1	1
111.0	0	2	2
112.0	0	1	1
113.0	0	1	1
118.0	0	2	2
119.0	0	2	2
120.0	0	1	1
122.0	0	1	1
123.0	0	2	2
125.0	0	3	3
126.0	0	1	1
127.0	0	1	1
131.0	0	2	2
132.0	0	1	1
135.0	0	1	1
136.0	0	3	3
139.0	0	1	1
147.0	0	1	1
150.0	0	1	1
152.0	0	1	1
153.0	0	1	1
154.0	0	1	1
155.0	0	1	1
156.0	0	1	1
160.0	0	1	1
166.0	0	1	1
176.0	0	1	1
180.0	0	2	2
185.0	0	1	1
191.0	0	1	1
192.0	0	2	2
196.0	0	1	1
202.0	0	1	1
205.0	0	1	1
208.0	0	1	1
211.0	0	1	1
217.0	0	2	2
238.0	0	1	1
242.0	0	1	1
245.0	0	1	1
246.0	0	1	1
252.0	0	1	1
255.0	0	1	1
261.0	0	1	1
262.0	0	2	2
264.0	0	2	2
265.0	0	1	1
267.0	0	1	1
268.0	0	1	1
273.0	0	2	2
274.0	0	1	1
277.0	0	1	1
283.0	0	1	1
303.0	0	2	2
307.0	0	1	1
309.0	0	1	1
324.0	0	1	1
329.0	0	1	1
337.0	0	2	2
338.0	0	1	1
340.0	0	2	2
341.0	0	1	1
342.0	0	1	1
343.0	0	1	1
344.0	0	1	1
349.0	0	1	1
352.0	0	2	2
353.0	0	1	1
357.0	0	1	1
359.0	0	1	1
360.0	0	2	2
361.0	0	1	1
364.0	0	1	1
370.0	0	1	1
372.0	0	1	1
376.0	0	1	1
378.0	0	1	1
381.0	0	1	1
386.0	0	1	1
390.0	0	1	1
391.0	0	1	1
392.0	0	1	1
399.0	0	1	1
401.0	0	1	1
404.0	0	1	1
407.0	0	1	1
412.0	0	1	1
429.0	0	1	1
433.0	0	1	1
435.0	0	1	1
437.0	0	1	1
452.0	0	1	1
